timestamp,frame,fps,command,position,orientation,left_velocity,right_velocity,detection_time,planning_time,path_length,distance_to_goal,occupancy_percent,traversability_score,static_objects,dynamic_objects
6.194004058837891,32,5.166278231858548,FORWARD,"(60, 83)",270,0.5,0.5,,0.05530381202697754,66,3.929376540877701,8.32638888888889,0.7226995847869,7,3
6.375837326049805,33,5.175782074198055,FORWARD,"(60, 82)",270,0.5,0.5,,0.05530381202697754,66,3.832753579347361,8.458333333333332,0.72036210989068,7,3
6.558342218399048,34,5.1842290361617245,FORWARD,"(60, 81)",270,0.5,0.5,,0.05530381202697754,66,3.7363083384538807,8.375,0.7187138274085343,7,3
6.735939264297485,35,5.196000395997363,FORWARD,"(60, 80)",270,0.5,0.5,,0.05530381202697754,66,3.640054944640259,8.381944444444445,0.7178281870902491,7,3
6.916964292526245,36,5.204587080136583,FORWARD,"(60, 79)",270,0.5,0.5,,0.05530381202697754,66,3.5440090293338704,8.42361111111111,0.7172411256485781,7,3
7.083083152770996,37,5.223706536391538,FORWARD,"(60, 78)",270,0.5,0.5,,0.05530381202697754,66,3.4481879299133342,8.402777777777779,0.7161545458201128,7,3
7.265544414520264,38,5.230158337821643,FORWARD,"(60, 77)",270,0.5,0.5,,0.05530381202697754,66,3.3526109228480423,8.465277777777777,0.7161471980282684,7,3
7.447416067123413,39,5.236708582065031,FORWARD,"(60, 76)",270,0.5,0.5,,0.05530381202697754,66,3.2572994949804666,8.534722222222223,0.7161252419122451,7,3
7.62844705581665,40,5.2435236518617385,FORWARD,"(60, 75)",270,0.5,0.5,,0.05530381202697754,66,3.1622776601683795,8.555555555555555,0.7155413565410771,7,3
7.809829235076904,41,5.249787961812798,FORWARD,"(60, 74)",270,0.5,0.5,,0.05530381202697754,66,3.0675723300355937,8.597222222222223,0.7165779822294288,7,3
7.992337226867676,42,5.255026941123083,RIGHT,"(60, 74)",255,0.25,-0.25,,0.05530381202697754,66,3.0675723300355937,8.63888888888889,0.716086039996017,7,3
8.1738760471344,43,5.260655058694306,RIGHT,"(60, 74)",240,0.25,-0.25,,0.05530381202697754,66,3.0675723300355937,8.708333333333334,0.7160807444782225,7,3
8.33669924736023,44,5.277861887042822,RIGHT,"(60, 74)",225,0.25,-0.25,,0.05530381202697754,66,3.0675723300355937,8.847222222222221,0.7152978825250571,7,3
8.519067287445068,45,5.282262207706278,FORWARD,"(59, 73)",225,0.5,0.5,,0.05530381202697754,66,2.9410882339705493,8.86111111111111,0.7150108555762462,7,3
8.7000892162323,46,5.287296024644757,LEFT,"(59, 73)",240,-0.25,0.25,,0.05530381202697754,66,2.9410882339705493,8.895833333333334,0.7145683763962799,7,3
8.88168716430664,47,5.291781416380808,LEFT,"(59, 73)",255,-0.25,0.25,,0.05530381202697754,66,2.9410882339705493,9.006944444444445,0.713696035573862,7,3
9.047961235046387,48,5.305056653371856,LEFT,"(59, 73)",270,-0.25,0.25,,0.05530381202697754,66,2.9410882339705493,9.069444444444445,0.7129176326303186,7,3
9.228939056396484,49,5.309380266438748,FORWARD,"(59, 72)",270,0.5,0.5,,0.05530381202697754,66,2.8460498941515415,9.17361111111111,0.7124110267513344,7,3
9.409383296966553,50,5.313838886521967,RIGHT,"(59, 72)",255,0.25,-0.25,,0.05530381202697754,66,2.8460498941515415,9.194444444444445,0.7119718545816764,7,3
9.590269327163696,51,5.317884731005342,RIGHT,"(59, 72)",240,0.25,-0.25,,0.05530381202697754,66,2.8460498941515415,9.243055555555555,0.7116377127637494,7,3
9.771730184555054,52,5.321467074872364,RIGHT,"(59, 72)",225,0.25,-0.25,,0.05530381202697754,66,2.8460498941515415,9.305555555555555,0.7105706770646449,7,3
9.952876091003418,53,5.3250885738466955,FORWARD,"(58, 71)",225,0.5,0.5,,0.05530381202697754,66,2.7202941017470894,9.243055555555555,0.710696746614821,7,3
10.112796306610107,54,5.339764093444921,LEFT,"(58, 71)",240,-0.25,0.25,,0.05530381202697754,66,2.7202941017470894,9.152777777777779,0.710816035831949,7,3
10.29858922958374,55,5.340532122272229,LEFT,"(58, 71)",255,-0.25,0.25,,0.05530381202697754,66,2.7202941017470894,9.20138888888889,0.7106461146803911,7,3
10.480749130249023,56,5.3431239291413215,LEFT,"(58, 71)",270,-0.25,0.25,,0.05530381202697754,66,2.7202941017470894,9.125,0.7114900430975909,7,3
10.661781072616577,57,5.346193675319439,FORWARD,"(58, 70)",270,0.5,0.5,,0.05530381202697754,66,2.6248809496813377,9.020833333333334,0.7120189757559479,7,3
10.843338012695312,58,5.3489014584881005,FORWARD,"(58, 69)",270,0.5,0.5,,0.05530381202697754,66,2.529822128134704,9.027777777777777,0.7124873885071177,7,3
11.025484085083008,59,5.351233528904327,FORWARD,"(58, 68)",270,0.5,0.5,,0.05530381202697754,66,2.4351591323771853,8.98611111111111,0.7138728101175207,7,3
11.207036256790161,60,5.353774636528069,FORWARD,"(58, 67)",270,0.5,0.5,,0.05530381202697754,66,2.3409399821439254,8.98611111111111,0.7146577838130403,7,3
11.387054204940796,61,5.356955831822954,FORWARD,"(58, 66)",270,0.5,0.5,,0.05530381202697754,66,2.247220505424424,8.965277777777777,0.7154147455466571,7,3
11.569136142730713,62,5.359081201548662,RIGHT,"(58, 66)",255,0.25,-0.25,,0.05530381202697754,66,2.247220505424424,8.875,0.7166716981440152,7,3
11.75048017501831,63,5.361477918815595,RIGHT,"(58, 66)",240,0.25,-0.25,,0.05530381202697754,66,2.247220505424424,8.833333333333334,0.7170538714254203,7,3
11.931259155273438,64,5.364055807697555,RIGHT,"(58, 66)",225,0.25,-0.25,,0.05530381202697754,66,2.247220505424424,8.847222222222221,0.7174731338153606,7,3
12.096694231033325,65,5.373364410551317,FORWARD,"(57, 65)",225,0.5,0.5,,0.05530381202697754,66,2.118962010041709,8.805555555555555,0.7179752640970805,7,3
12.276440143585205,66,5.376146532667997,LEFT,"(57, 65)",240,-0.25,0.25,,0.05530381202697754,66,2.118962010041709,8.833333333333334,0.7177275655141212,7,3
